"food_code","main_food_description","n_servings","median_serving_g","mean_serving_g","milk_g","eggs_g","pork_g","beef_g","chicken_g","turkey_g","total_animal_g","median_milk_g_per_serving","median_eggs_g_per_serving","median_pork_g_per_serving","median_beef_g_per_serving","median_chicken_g_per_serving","median_turkey_g_per_serving","median_total_animal_g_per_serving"
24100000,"Chicken, NS as to part and cooking method, NS as to skin eaten",121,67.5,74.3638887008933,0,0,0,0,100,0,100,0,0,0,0,67.5,0,67.5
24100020,"Chicken, NS as to part and cooking method, skin not eaten",24,101.25,95.763287694078,0,0,0,0,100,0,100,0,0,0,0,101.25,0,101.25
24102010,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",11,200.01,181.738530510834,0,0,0,0,100,0,100,0,0,0,0,200.01,0,200.01
24102020,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",14,101.25,118.505132377896,0,0,0,0,100,0,100,0,0,0,0,101.25,0,101.25
24102070,"Chicken, NS as to part, rotisserie, skin not eaten",5,33.75,40.1774486821273,0,0,0,0,100,0,100,0,0,0,0,33.75,0,33.75
24103070,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",7,108.28,127.577699186905,0,0,0,0,100,0,100,0,0,0,0,108.28,0,108.28
24104051,"Chicken, NS as to part, sauteed, skin not eaten",9,67.5,93.1609760600178,0,0,0,0,100,0,100,0,0,0,0,67.5,0,67.5
24120120,"Chicken breast, NS as to cooking method, skin not eaten",25,120,121.277046147924,0,0,0,0,100,0,100,0,0,0,0,120,0,120
24122130,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",8,130,138.051921646228,0,0,0,0,100,0,100,0,0,0,0,130,0,130
24122131,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",74,120,111.515892407557,0,0,0,0,100,0,100,0,0,0,0,120,0,120
24122140,"Chicken breast, baked or broiled, skin eaten, from pre-cooked",6,67.5,97.9160727903489,0,0,0,0,100,0,100,0,0,0,0,67.5,0,67.5
24122141,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",34,101.25,124.872610499614,0,0,0,0,100,0,100,0,0,0,0,101.25,0,101.25
24122150,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant",5,130,138.114381913056,0,0,0,0,98,0,98,0,0,0,0,127.4,0,127.4
24122151,"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant",35,104,94.8331861930265,0,0,0,0,98,0,98,0,0,0,0,101.92,0,101.92
24122161,"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw",37,105,122.691693812782,0,0,0,0,96,0,96,0,0,0,0,100.8,0,100.8
24122170,"Chicken breast, rotisserie, skin eaten",8,32.5,80.1913044634402,0,0,0,0,100,0,100,0,0,0,0,32.5,0,32.5
24122171,"Chicken breast, rotisserie, skin not eaten",22,67.5,74.9071935369099,0,0,0,0,100,0,100,0,0,0,0,67.5,0,67.5
24123120,"Chicken breast, stewed, skin not eaten",42,120,107.334810578094,0,0,0,0,100,0,100,0,0,0,0,120,0,120
24123300,"Chicken breast, grilled without sauce, skin eaten",9,202.5,208.871839892467,0,0,0,0,98,0,98,0,0,0,0,198.45,0,198.45
24123301,"Chicken breast, grilled without sauce, skin not eaten",70,120,114.6704683729,0,0,0,0,98,0,98,0,0,0,0,117.6,0,117.6
24123311,"Chicken breast, grilled with sauce, skin not eaten",71,165,144.686151669135,0,0,0,0,80,0,80,0,0,0,0,132,0,132
24124200,"Chicken breast, sauteed, skin eaten",10,67.5,96.2972636252877,0,0,0,0,98,0,98,0,0,0,0,66.15,0,66.15
24124201,"Chicken breast, sauteed, skin not eaten",63,105,115.2860647106,0,0,0,0,98,0,98,0,0,0,0,102.9,0,102.9
24127200,"Chicken breast, fried, coated, skin / coating eaten, from raw",13,195,168.573385460358,0,0,0,0,78,0,78,0,0,0,0,152.1,0,152.1
24127202,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",25,165,141.867772724181,0,0,0,0,78,0,78,0,0,0,0,128.7,0,128.7
24127210,"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked",19,150,143.695427232938,0,0,0,0,74,0,74,0,0,0,0,111,0,111
