"","food_code","food_name_simple","ingredient_description","ingredient_weight_g","animal_product"
"2",24122131,"Baked chicken breast","Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",100,"chicken"
"3",24122171,"Rotisserie chicken breast","Chicken, broiler, rotisserie, BBQ, breast, meat only",100,"chicken"
"5",24123301,"Grilled chicken breast","Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",98,"chicken"
"6",24124201,"Pan-seared chicken breast","Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",98,"chicken"
"9",24127220,"Fried chicken breast","Fast Foods, Fried Chicken, Breast, meat and skin and breading",78,"chicken"
"12",24142510,"Grilled chicken drumstick","Chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted",80,"chicken"
"15",24147320,"Fried chicken drumstick","Fast Foods, Fried Chicken, Drumstick, meat and skin with breading",78,"chicken"
"20",24152231,"Baked chicken thigh","Chicken, broilers or fryers, thigh, meat only, cooked, roasted",100,"chicken"
"23",24154021,"Grilled chicken thigh","Chicken, broilers or fryers, thigh, meat only, cooked, roasted",80,"chicken"
"26",24157320,"Fried chicken thigh","Fast Foods, Fried Chicken, Thigh, meat and skin and breading",78,"chicken"
"30",24162130,"Baked chicken wings","Chicken, broilers or fryers, wing, meat and skin, cooked, roasted",100,"chicken"
"34",24167220,"Fried chicken wings","Fast Foods, Fried Chicken, Wing, meat and skin and breading",78,"chicken"
"39",24168000,"Buffalo wings","Fast Foods, Fried Chicken, Wing, meat and skin and breading",35,"chicken"
"41",24168000,"Buffalo wings","Chicken, broiler, rotisserie, BBQ, wing, meat and skin",40,"chicken"
"42",24198671,"Chicken patty","Chicken patty, frozen, cooked",100,"chicken"
"43",24198683,"Grilled chicken fillet","Chicken, broiler, rotisserie, BBQ, breast, meat only",80,"chicken"
"48",24198731,"Chicken nuggets","Fast foods, chicken, breaded and fried, boneless pieces, plain",100,"chicken"
"49",24198741,"Chicken tenders","Fast foods, chicken tenders",100,"chicken"
"50",27145000,"Chicken teriyaki","Chicken, NS as to part, rotisserie, skin not eaten",90,"chicken"
"52",27146100,"Sweet and sour chicken","Restaurant, Chinese, sweet and sour chicken",100,"chicken"
"53",27146350,"Orange chicken","Restaurant, Chinese, orange chicken",100,"chicken"
"58",27347100,"Chicken pot pie","Chicken as ingredient in recipes",20,"chicken"
"61",27445150,"General Tso's chicken","Restaurant, Chinese, general tso's chicken",100,"chicken"
"62",27446200,"Chicken salad","Chicken, NS as to part, rotisserie, skin not eaten",270,"chicken"
"72",28340660,"Chicken soup","Chicken as ingredient in recipes",10,"chicken"
"76",58104740,"Chicken quesadilla","Chicken as ingredient in recipes",30,"chicken"
"78",58104740,"Chicken quesadilla","Cheese and Queso as ingredient",20,"cheese"
"82",58105000,"Chicken fajitas","Chicken, NS as to part, rotisserie, skin not eaten",30,"chicken"
"87",58146342,"Pasta with chicken","Spaghetti sauce with poultry",130,"chicken"
"89",58150320,"Chicken fried rice","Chicken, NS as to part, rotisserie, skin not eaten",15,"chicken"
"94",58403040,"Chicken noodle soup","Chicken as ingredient in recipes",10,"chicken"
"96",58403040,"Chicken noodle soup","Noodles, egg, enriched, cooked",15,"eggs"
